Keyword,Title,CAS,Category,Method,Unit,PrecisionDigits,LinkedIS_Surrogate,NoLabeledStd,NC_Flag
9ClPF3ONS,9Cl-PF3ONS,756426-58-1,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,,Y,Y
11ClPF3OUdS,11Cl-PF3OUdS,763051-92-9,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,,Y,Y
FOSA,FOSA,754-91-6,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M8FOSA,N,N
4:2FTS,4:2 FTS,757124-72-4,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M2-4:2FTS,N,N
6:2FTS,6:2FTS,27619-97-2,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M2-6:2FTS,N,N
8:2FTS,8:2 FTS,39108-34-4,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M2-8:2FTS,N,N
10:2FTS,10:2 FTS,120226-60-0,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M2-10:2FTS,N,N
PFBA,PFBA,375-22-4,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M3PFBA,N,N
PFPeA,PFPeA,2706-90-3,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M3PFPeA,N,N
PFHxA,PFHxA,307-24-4,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M5PFHxA,N,N
PFHpA,PFHpA,375-85-9,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M4PFHpA,N,N
PFOA,PFOA,335-67-1,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M8PFOA,N,N
PFNA,PFNA,375-95-1,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M5PFNA,N,N
PFDA,PFDA,335-76-2,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M2PFDA,N,N
PFUDA,PFUDA,2058-94-8,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,MPFUdA,N,N
PFDoA,PFDoA,307-55-1,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,MPFDoA,N,N
PFTrDA,PFTrDA,72629-94-8,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,MPFDoA,Y,Y
PFTeDA,PFTeDA,376-06-7,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M2PFTeDA,N,N
PFHxDA,PFHxDA,67905-19-5,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M2PFHxDA,N,N
PFODA,PFODA,16517-11-6,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,,Y,Y
GenX,GenX (HFPO-DA),13252-13-6,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M3HFPO,N,N
DONA,DONA,919005-14-4,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,,Y,Y
PFBS,PFBS,375-73-5,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M3PFBS,N,N
PFPeS,PFPeS,2706-91-4,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,,Y,Y
PFHxS,lr-PFHxS,355-46-4,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M3PFHxS,N,N
br-PFHxS,br-PFHxS,,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M3PFHxS,N,N
PFHpS,PFHpS,375-92-8,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,,Y,Y
PFOS,lr-PFOS,1763-23-1,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M8PFOS,N,N
br-PFOS,br-PFOS,,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,M8PFOS,N,N
PFNS,PFNS,68259-12-1,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,,Y,Y
PFDS,PFDS,335-77-3,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,,Y,Y
PFUnDS,PFUnDS,749786-16-1,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,,Y,Y
PFDoS,PFDoS,79780-39-5,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,,Y,Y
PFTrDS,PFTrDS,PLACEHOLDER,PFAS,FDA_32PFAS;EPA_537_1;EPA_1633A,ng/L_or_ng/g,3,,Y,Y
